letter	frequency
SUTPHIN BLVD	1721
18 AVE	1775
111 ST	1778
149 ST-3 AVE	1810
ELMHURST AVE	1836
PATH WTC	1848
LEXINGTON-53 ST	1879
DEKALB AVE	1938
PRINCE ST-B'WAY	1947
JAMAICA CENTER	2064
KINGS HIGHWAY	2089
42 ST-GRD CNTRL	2101
CANAL ST	2120
90 ST-ELMHURST	2213
CHAMBERS ST	2214
WOODHAVEN BLVD	2239
UNION TPK-KEW G	2339
125 ST	2341
103 ST-CORONA	2386
CHURCH AVE	2505
HUDSON-80 ST	2699
JUNCTION BLVD	3201
GRAND ST	3256
59 ST-COLUMBUS	3763
ROOSEVELT AVE	4310
34 ST-HERALD SQ	4418
34 ST-PENN STA	4997
86 ST	6418
59 ST	6512
MAIN ST	6591
