letter	frequency
HOYT/SCHERMER	22899.4
2 AVE	22977.5
8 AVE	23135.94
42 ST-TIMES SQ	23301.3
68ST-HUNTER COL	23367.21
103 ST-CORONA	24081.56
86 ST	24152.58
116 ST-COLUMBIA	24243.83
NOSTRAND AVE	24631.6
MONTROSE AVE	24759.0
MAIN ST	24964.07
181 ST	25169.55
ROOSEVELT AVE	25278.77
DITMARS BL-31 S	25411.75
NEWKIRK PLAZA	25639.4
SUTTER AVE	25713.2
GRAND ST	25907.21
BROADWAY-31 ST	25988.5
34 ST-HERALD SQ	26034.54
WESTCHESTER SQ	27008.0
191 ST	27057.0
42 ST-GRD CNTRL	27402.42
7 AVE	27693.75
BEDFORD AVE	27860.31
W 4 ST-WASH SQ	28692.32
GRAND-30 AVE	28887.83
23 ST-6 AVE	29847.0
1 AVE	31427.8
YORK ST	32196.0
14 ST-UNION SQ	33821.92
