letter	frequency
72 ST	27123
7 AVE-53 ST	27246
181 ST	27510
7 AV-PARK SLOPE	27943
CHRISTOPHER ST	28286
8 AVE	28509
103 ST	28665
191 ST	28806
MAIN ST	28896
JUNCTION BLVD	29083
49 ST-7 AVE	29662
42 ST-TIMES SQ	31146
W 4 ST-WASH SQ	32711
14 ST	33370
BURNSIDE AVE	34417
BEDFORD AVE	34853
59 ST	35648
21 ST	35855
167 ST	36798
DITMARS BL-31 S	36840
96 ST	36992
7 AVE	37103
SPRING ST	37880
68ST-HUNTER COL	40931
ROOSEVELT AVE	46023
14 ST-UNION SQ	46783
1 AVE	48480
145 ST	49896
YORK ST	49985
42 ST-GRD CNTRL	54078
