letter	frequency
LEXINGTON-53 ST	20259058.57
DEKALB AVE	20573168.46
GRAND AV-NEWTON	20996530.62
170 ST	21118858.6
BOWLING GREEN	21201110.1
34 ST-HERALD SQ	21279297.0
242 ST	22206168.0
MAIN ST	22526917.53
CHAMBERS ST	22817793.96
168 ST-BROADWAY	26143152.0
CROWN HTS-UTICA	26651567.36
47-50 ST-ROCK	26760084.75
JUNCTION BLVD	28384323.33
BARCLAYS CENTER	30428811.0
EAST BROADWAY	30917768.31
BROADWAY/LAFAY	31041130.84
LEXINGTON AVE	31519632.0
ELMHURST AVE	34018013.88
PATH WTC	35320824.0
42 ST-GRD CNTRL	36259478.2
90 ST-ELMHURST	36638981.25
CHURCH AVE	44810166.45
GRAND ST	44915445.52
59 ST-COLUMBUS	50249596.8
125 ST	59177600.57
ROOSEVELT AVE	63433157.7
HUDSON-80 ST	65434097.17
59 ST	72163835.04
86 ST	131205291.94
34 ST-PENN STA	136929892.74
